sts_prefix,bucket,owners,reasons,sources,artifact_kinds,priority_max,normalized_glob
gs://marin-eu-west4/DL3DV/,marin-eu-west4,Julian,DL3DV - popular camera-conditioned video dataset,named.csv:18,,0,gs://marin-eu-west4/DL3DV/**
gs://marin-eu-west4/analysis/,marin-eu-west4,Rohith,Logprobs from SFT experiments,named.csv:1751,,0,gs://marin-eu-west4/analysis/**
gs://marin-eu-west4/checkpoints/adam-lr1.25e-3-8B-decay-from-muonh_bs256-lr2.50e-3-66a9e5/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:208,,0,gs://marin-eu-west4/checkpoints/adam-lr1.25e-3-8B-decay-from-muonh_bs256-lr2.50e-3-66a9e5/**
gs://marin-eu-west4/checkpoints/adam-lr1.25e-3-8B-decay-from-muonh_bs256-lr3.54e-3-a3d630/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:209,,0,gs://marin-eu-west4/checkpoints/adam-lr1.25e-3-8B-decay-from-muonh_bs256-lr3.54e-3-a3d630/**
gs://marin-eu-west4/checkpoints/adam-lr1.25e-3-8B-decay-from-muonh_bs256-lr5.00e-3-414c6a/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:210,,0,gs://marin-eu-west4/checkpoints/adam-lr1.25e-3-8B-decay-from-muonh_bs256-lr5.00e-3-414c6a/**
gs://marin-eu-west4/checkpoints/adam-lr1.25e-3-8B-decay-from-muonh_bs256-lr7.07e-3-f2cc52/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:211,,0,gs://marin-eu-west4/checkpoints/adam-lr1.25e-3-8B-decay-from-muonh_bs256-lr7.07e-3-f2cc52/**
gs://marin-eu-west4/checkpoints/adam-lr1.77e-3-8B-decay-from-muonh_bs256-lr2.50e-3-299ede/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:212,,0,gs://marin-eu-west4/checkpoints/adam-lr1.77e-3-8B-decay-from-muonh_bs256-lr2.50e-3-299ede/**
gs://marin-eu-west4/checkpoints/adam-lr1.77e-3-8B-decay-from-muonh_bs256-lr3.54e-3-97b34d/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:213,,0,gs://marin-eu-west4/checkpoints/adam-lr1.77e-3-8B-decay-from-muonh_bs256-lr3.54e-3-97b34d/**
gs://marin-eu-west4/checkpoints/adam-lr1.77e-3-8B-decay-from-muonh_bs256-lr5.00e-3-8a9579/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:214,,0,gs://marin-eu-west4/checkpoints/adam-lr1.77e-3-8B-decay-from-muonh_bs256-lr5.00e-3-8a9579/**
gs://marin-eu-west4/checkpoints/adam-lr1.77e-3-8B-decay-from-muonh_bs256-lr7.07e-3-24d6f3/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:215,,0,gs://marin-eu-west4/checkpoints/adam-lr1.77e-3-8B-decay-from-muonh_bs256-lr7.07e-3-24d6f3/**
