sts_prefix,bucket,owners,reasons,sources,artifact_kinds,priority_max,normalized_glob
gs://marin-us-central2/DL3DV/,marin-us-central2,Julian,DL3DV - popular camera-conditioned video dataset,named.csv:18,,0,gs://marin-us-central2/DL3DV/**
gs://marin-us-central2/analysis/,marin-us-central2,Rohith,Logprobs from SFT experiments,named.csv:1751,,0,gs://marin-us-central2/analysis/**
gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot3_math53k_n1_vr1_round1-16b3cd/,marin-us-central2,Tony,Checkpoints for post-training algorithm paper,named.csv:21,,0,gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot3_math53k_n1_vr1_round1-16b3cd/**
gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot3_math53k_n1_vr3_round1-c33b92/,marin-us-central2,Tony,Checkpoints for post-training algorithm paper,named.csv:22,,0,gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot3_math53k_n1_vr3_round1-c33b92/**
gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot3_math53k_n4_vr1_round1-b2bf48/,marin-us-central2,Tony,Checkpoints for post-training algorithm paper,named.csv:23,,0,gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot3_math53k_n4_vr1_round1-b2bf48/**
gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot3_math53k_n4_vr3_round1-c608fa/,marin-us-central2,Tony,Checkpoints for post-training algorithm paper,named.csv:24,,0,gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot3_math53k_n4_vr3_round1-c608fa/**
gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot3_math53k_n8_vr1_round1-913d32/,marin-us-central2,Tony,Checkpoints for post-training algorithm paper,named.csv:25,,0,gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot3_math53k_n8_vr1_round1-913d32/**
gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot3_math53k_n8_vr3_round1-e7db3b/,marin-us-central2,Tony,Checkpoints for post-training algorithm paper,named.csv:26,,0,gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot3_math53k_n8_vr3_round1-e7db3b/**
gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_code9k_n1_vr1_round1-ddab85/,marin-us-central2,Tony,Checkpoints for post-training algorithm paper,named.csv:31,,0,gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_code9k_n1_vr1_round1-ddab85/**
gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_code9k_n4_vr3_round1-c4bb99/,marin-us-central2,Tony,Checkpoints for post-training algorithm paper,named.csv:32,,0,gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_code9k_n4_vr3_round1-c4bb99/**
gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_code9k_n8_vr3_round1-e67d23/,marin-us-central2,Tony,Checkpoints for post-training algorithm paper,named.csv:33,,0,gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_code9k_n8_vr3_round1-e67d23/**
gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_code9k_n8_vr5_round1-2e374d/,marin-us-central2,Tony,Checkpoints for post-training algorithm paper,named.csv:34,,0,gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_code9k_n8_vr5_round1-2e374d/**
gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_math30k_n4_vr3_round1-0e7dc3/,marin-us-central2,Tony,Checkpoints for post-training algorithm paper,named.csv:27,,0,gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_math30k_n4_vr3_round1-0e7dc3/**
gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_science26k_n1_vr1_round1-f757ed/,marin-us-central2,Tony,Checkpoints for post-training algorithm paper,named.csv:28,,0,gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_science26k_n1_vr1_round1-f757ed/**
gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_science26k_n4_vr3_round1-82c9f4/,marin-us-central2,Tony,Checkpoints for post-training algorithm paper,named.csv:29,,0,gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_science26k_n4_vr3_round1-82c9f4/**
gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_science26k_n8_vr3_round1-5c8b4c/,marin-us-central2,Tony,Checkpoints for post-training algorithm paper,named.csv:30,,0,gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_science26k_n8_vr3_round1-5c8b4c/**
gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_science26k_n8_vr5_round1-e46bc8/,marin-us-central2,Tony,Checkpoints for post-training algorithm paper,named.csv:35,,0,gs://marin-us-central2/checkpoints/exp_sft_qwen3_4b_selfinstill_ot4_science26k_n8_vr5_round1-e46bc8/**
gs://marin-us-central2/dmlab/,marin-us-central2,Julian,Small DeepMind Lab video navigation dataset,named.csv:16,,0,gs://marin-us-central2/dmlab/**
gs://marin-us-central2/documents/math_reasoning_scaling/,marin-us-central2,Rohith,Evals for a bunch of models,named.csv:1750,,0,gs://marin-us-central2/documents/math_reasoning_scaling/**
